Topic 61,fragment_141.09129,fragment_158.1179,fragment_95.08533,loss_77.08371,fragment_88.03901,fragment_168.0484,fragment_74.02347,loss_102.04277,loss_42.02137,fragment_225.11338,fragment_131.0449,fragment_112.05096,loss_64.01586,fragment_113.0601,fragment_137.08431,fragment_158.05557,fragment_130.06102,fragment_269.11591,fragment_98.03512
Topic 62,fragment_113.01571,fragment_79.0541,fragment_53.03885,fragment_141.01028,loss_189.09988,fragment_198.03175,fragment_125.01505,loss_179.11551,loss_59.07417,fragment_133.06434,fragment_281.10071,fragment_151.07551,fragment_95.04928,fragment_161.06027,fragment_154.03287,fragment_161.05882,fragment_251.12691,fragment_235.09608,fragment_76.07555
Topic 63,fragment_124.08683,fragment_96.06817,loss_74.02411,loss_87.03189,loss_114.04253,fragment_120.08151,fragment_228.17222,fragment_106.06497,fragment_134.04673,fragment_133.09596,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.07609,fragment_133.08622,fragment_134.04803
Topic 64,fragment_109.10116,fragment_81.06995,fragment_123.11713,fragment_169.1217,fragment_127.11195,fragment_101.07888,fragment_117.0547,loss_87.07919,fragment_99.04448,fragment_253.14397,loss_147.08937,fragment_271.1537,fragment_298.20014,fragment_53.03914,fragment_133.06434,fragment_132.39426,fragment_134.03645,fragment_132.99595,fragment_133.04831
Topic 65,loss_42.02137,fragment_125.01505,fragment_208.09519,fragment_268.03874,fragment_191.06743,fragment_378.13526,fragment_181.08397,fragment_153.06555,fragment_378.0554,fragment_213.05081,fragment_236.10135,fragment_340.16584,fragment_240.04155,fragment_193.08584,fragment_154.073,fragment_332.07169,fragment_137.01571,fragment_179.08307,fragment_171.05107
Topic 66,loss_117.04253,fragment_115.05421,loss_163.04779,fragment_203.14008,fragment_140.10622,fragment_133.07609,fragment_132.08126,fragment_132.10153,fragment_132.39426,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,loss_197.12615,fragment_132.07688,fragment_133.09596,fragment_133.09783
Topic 67,fragment_96.04408,loss_197.12615,fragment_133.09783,fragment_132.39426,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.07609,fragment_133.08622,fragment_133.09596,fragment_133.10075,fragment_132.08126,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645
Topic 68,loss_42.01076,loss_59.03653,loss_87.03189,fragment_140.07134,loss_101.04741,fragment_157.09689,fragment_140.10766,loss_197.12615,fragment_133.06434,fragment_132.10153,fragment_132.39426,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.07609,fragment_132.07688,fragment_133.08622
Topic 69,fragment_58.06551,fragment_135.00705,fragment_132.10153,fragment_132.39426,fragment_132.99595,fragment_133.04831,fragment_133.04976,fragment_133.05131,fragment_133.05262,fragment_133.06434,fragment_133.07609,fragment_133.08622,fragment_133.09596,fragment_133.09783,fragment_133.10075,fragment_133.59714,fragment_134.01282,fragment_134.02756,fragment_134.03645
Topic 70,fragment_125.01505,fragment_155.02613,fragment_136.02168,fragment_53.03885,fragment_354.05545,fragment_183.02031,fragment_105.03338,fragment_137.00651,fragment_109.01041,fragment_276.02578,fragment_138.99476,fragment_240.04859,fragment_165.09197,fragment_294.03497,fragment_200.0482,fragment_140.02608,fragment_304.01843,fragment_301.17732,fragment_111.02645
